Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,31.768657684326172,34.57920557550569,26.25808987233483,28.358106318121756,855215656
2007-10-08,30.14234733581543,32.84236871898743,29.952871324448566,32.84236871898743,126671715
2007-10-09,32.194984436035156,32.479196219592744,28.531798439068737,30.158125468004485,116725709
2007-10-10,32.494991302490234,33.158155089594345,32.21077947464601,33.03183705597415,67931378
2007-10-11,36.1265983581543,37.895033722058514,32.210779948710176,37.895033722058514,106320954
2007-10-12,35.88975524902344,37.2318707531313,35.05290761486709,35.36869949818658,99410791
2007-10-15,36.36344909667969,36.85292916681571,36.04765716105732,36.63187309859915,41814972
2007-10-16,40.07399368286133,40.70558166934217,36.15817557916718,36.41080734719863,138614496
2007-10-17,43.200321197509766,44.21085219627283,33.50551091807926,36.00026695072487,204876259
2007-10-18,41.684532165527344,47.195101581873935,39.9003090953868,43.895075083662775,146617799
2007-10-19,41.54243087768555,43.231918208033804,39.47399159696339,40.73715905394133,110266491
2007-10-22,40.98979568481445,42.26875103949531,39.63188807977415,40.705583859685525,72253405
2007-10-23,43.91086959838867,44.30560942634683,42.000326261150434,42.000326261150434,74594921
2007-10-24,43.23191833496094,45.31614550173401,42.74243837402412,44.84245342077526,63055170
2007-10-25,43.137176513671875,44.14771215586897,38.1002947484475,41.763481097410576,34522489
2007-10-26,44.431922912597656,45.14245456450995,42.71085564246303,43.89507506231685,62370025
2007-10-29,45.3319206237793,46.421403965284576,44.93718090340783,45.15823686009588,43657697
2007-10-30,46.34246826171875,47.5898435376437,44.5898208704199,45.94772843708404,79921711
2007-10-31,47.305641174316406,48.34775708953385,46.42142550370955,46.57932146511806,44655368
2007-11-01,46.247711181640625,48.83720519533758,45.86876365881645,48.47404554643121,50632492
2007-11-02,47.08458709716797,47.36880326622951,44.21087962191907,44.57404377500832,32001693
2007-11-05,48.04774856567383,49.1056522650258,46.76878882769845,47.05300495827188,38833135
2007-11-06,48.6793212890625,51.75829154943863,48.01615760711058,48.88458511644744,81880281
2007-11-07,47.96879577636719,50.27407465307252,46.895104303425,49.5793351273811,33593141
2007-11-08,47.14773941040039,48.42669911032808,46.10562790663847,46.73721167454304,27990521
2007-11-12,48.28458023071289,49.13721983962379,44.4792863117742,45.726665687180784,35153735
2007-11-13,49.4372444152832,50.43198827169734,47.54249258089332,49.10566455754607,43830531
2007-11-14,48.78984832763672,51.000391035379394,48.537212305402896,50.305647328237164,36738579
2007-11-15,49.61089324951172,50.479320485310595,48.67930595601137,49.70562905286459,29242252
2007-11-16,49.2635498046875,50.38460934903845,48.69512180836162,49.38986570947042,18895294
2007-11-19,51.04775619506836,52.89513907201359,50.00564497381741,50.38459256190849,40716718
2007-11-20,50.258296966552734,52.263576551325585,49.6425009981761,50.84251288571993,26342171
2007-11-21,46.34246826171875,50.85829014225936,45.22140458983544,50.55829044545771,26814499
2007-11-22,44.747711181640625,47.71615771672916,42.805592344935334,45.852982551837215,34096185
2007-11-23,47.716163635253906,48.00037545191683,45.03192854863386,47.684583592691084,27664090
2007-11-26,48.09510803222656,49.484591261876446,47.716160396795274,49.484591261876446,20159123
2007-11-27,46.9109001159668,48.91617963313041,46.42142436093089,48.91617963313041,20573198
2007-11-28,46.216148376464844,48.15827175221304,45.900356514808394,47.93721573577302,16435311
2007-11-29,44.96876525878906,47.62141557794217,44.38454955986118,47.36878384590873,25530967
2007-11-30,46.705631256103516,46.98984309274803,45.15825189374867,45.789835656603834,18437721
2007-12-03,47.3687858581543,47.953001581899905,46.91088600579135,47.27404574221678,16851227
2007-12-04,46.75299835205078,48.079325943791694,46.40562643200421,47.68458609901183,14008727
2007-12-05,48.61617660522461,48.78986473200877,46.737217241810605,46.831953105000466,27725290
2007-12-06,47.716163635253906,50.416182318353535,47.10036779648321,49.67407059253279,24104710
2007-12-07,47.510894775390625,48.695114229421236,46.65825933840928,48.01616259908392,11742386
2007-12-10,47.55827331542969,48.142484897347664,46.942477404022114,47.96880106756692,8330010
2007-12-11,47.33720779418945,48.25300325391725,47.100363919266705,47.98457933903129,11685950
2007-12-12,47.305641174316406,47.731961126759806,46.42142550370955,46.737217426526584,16342131
2007-12-13,46.51614761352539,48.000370925195774,46.34246382061114,47.368787266306384,14620172
2007-12-14,46.05824279785156,46.78456649743969,45.82139895122073,46.35824671686411,10991851
2007-12-17,43.27928924560547,46.57931617772587,42.63191330739537,46.32668009822867,19355678
2007-12-18,43.08979797363281,44.52664883644282,41.74768293003224,42.78979407413619,21607783
2007-12-19,42.300315856933594,44.85822992877144,41.93715619536644,44.47927810953628,19526912
2007-12-20,41.87400817871094,43.20033564443335,41.68453221457902,42.85296375739167,17105204
2007-12-24,43.1529655456543,43.83191712324968,42.158217854981096,42.50558972448596,16711519
2007-12-26,44.463504791259766,45.000352663726275,43.38981332952796,43.38981332952796,20930094
2007-12-27,44.77928924560547,46.010876432873744,44.40033736496884,45.37929282061304,44565277
2007-12-28,45.12667465209961,45.31615064936614,44.210874712511654,44.6845625640771,18354518
2007-12-31,45.458248138427734,45.72667207377539,44.90561238814775,45.474040301213584,11982308
2008-01-01,46.29508590698242,46.72140568076655,45.26876258793187,45.695082361716,16687746
2008-01-02,46.042476654052734,46.64248049208771,45.36352482987625,46.295108496424604,13437280
2008-01-03,47.93721008300781,48.12668603429889,45.20561165843035,45.75824735116223,31815218
2008-01-04,47.68458557128906,49.26354493293426,47.368793698960026,48.63196118827618,28011310
2008-01-07,47.28982925415039,48.37930826416835,46.78456157782907,47.384565069560686,15858063
2008-01-08,45.67930603027344,48.00037713353815,45.12667025726762,47.3372133492909,13282666
2008-01-09,44.95298385620117,45.93193954770477,44.84245584078598,45.726675680906,13113527
2008-01-10,43.87929153442383,46.421418711042506,43.57928753836525,45.15825120460882,18023003
2008-01-11,44.542442321777344,44.968762087317536,42.78979534860103,44.47928225162317,11629440
2008-01-14,45.221397399902344,45.695085114150466,43.91086224712264,44.62139381849482,10264240
2008-01-15,43.847713470458984,46.137204679272536,43.48455365259786,45.94773297131135,11558334
2008-01-16,42.94769287109375,43.89506826016787,41.858213743578744,43.53190855099619,14834065
2008-01-17,44.1003303527832,45.079285644907976,42.18978767490105,43.10558290306946,16169395
2008-01-18,42.04770278930664,43.78455821086038,41.684538683693134,43.73718600007483,13254156
2008-01-21,34.8950080871582,41.684532880789455,30.394972070709024,41.684532880789455,33202389
2008-01-22,31.389713287353516,33.158148261041084,24.931769128783888,31.452871220356588,58755707
2008-01-23,34.8950080871582,36.23712345334112,31.894985503925785,31.894985503925785,28425991
2008-01-24,34.97395706176758,37.4529240194337,33.31604979675027,36.77397237706686,29911930
2008-01-25,36.77397537231445,36.94765919618236,35.289751796128165,36.63186731045775,12550722
2008-01-28,37.16871643066406,37.452928280360865,33.31605358703541,36.268708670622765,13601109
2008-01-29,36.55290222167969,37.80028129943777,36.00026668045514,37.26343363182553,7679877
2008-01-30,34.53184509277344,36.78975575911988,34.0739452384679,36.63185984842151,9016102
2008-01-31,32.27393341064453,34.98974402603266,31.894983640069555,34.89500604798881,41538563
2008-02-01,33.39499282836914,33.631836688383096,32.5265653416513,32.82656713601558,9089201
2008-02-04,35.11606216430664,35.526592001206716,34.026580700626084,34.026580700626084,12009385
2008-02-05,36.205543518066406,36.67923129575901,34.4213204120645,35.17921999973244,14593303
2008-02-06,35.88975524902344,36.31607514814507,33.884478074905104,35.210803556526834,12429218
2008-02-07,34.20026779174805,36.616076831068945,33.9792139157476,35.40027730066556,11300078
2008-02-08,33.3160514831543,34.70553488086193,32.7002556116968,34.42132304911287,13514197
